associacao,area,ano,edicao,local,participantes,trabalhos,trabalhos_aprovados,gt,fonte
SBS,Sociologia,2019,19º,Florianópolis (SC),2306,NA,NA,NA,Site SBS – Histórico (2.306 pessoas; 3.824 inscrições)
SBS,Sociologia,2021,20º,Belém (PA) virtual,2977,NA,NA,NA,UFPA (2.977 inscrições pré-evento)
SBS,Sociologia,2023,21º,Belém (PA),1700,NA,NA,NA,Blog pessoal (não institucional; mais de 1.700 inscritos)
SBS,Sociologia,2025,22º,São Paulo (SP) — FFLCH/USP,NA,NA,NA,NA,Site do 22º Congresso (sbs2025.sbsociologia.com.br); balanço não publicado em fonte acessível (31/08/2026)
ABA,Antropologia,1953,1ª,Rio de Janeiro (RJ),22,NA,NA,NA,"Livro 70 anos RBA (ABA, 2024)"
ABA,Antropologia,1955,2ª,Salvador (BA),47,31,NA,NA,Livro 70 anos RBA
ABA,Antropologia,1958,3ª,Recife (PE),25,NA,NA,NA,Livro 70 anos RBA
ABA,Antropologia,1990,17ª,Florianópolis (SC),500,NA,NA,20,Livro 70 anos RBA
ABA,Antropologia,2006,25ª,Goiânia (GO),2000,NA,NA,NA,Livro 70 anos RBA
ABA,Antropologia,2010,27ª,Belém (PA),1117,NA,NA,NA,Relatório ABA 2015/2016
ABA,Antropologia,2012,28ª,São Paulo (SP),2524,NA,NA,160,Relatório ABA 2015/2016; FAPESP
ABA,Antropologia,2014,29ª,Natal (RN),3761,NA,NA,83,Relatório ABA 2015/2016; livro 70 anos
ABA,Antropologia,2016,30ª,João Pessoa (PB),1812,NA,NA,NA,Informativo ABA 19/2016
ABA,Antropologia,2018,31ª,Brasília (DF),2700,NA,NA,66,UnB; Relatório ABA 2017/2018
ABA,Antropologia,2020,32ª,virtual (UERJ),3402,2707,1933,81,Relatório ABA 2019/2020 (2.707 propostas; 1.933 aprovadas; 81 GTs)
ABA,Antropologia,2022,33ª,remota (UFPR),2771,NA,NA,78,Informativo ABA 17/2022
ABA,Antropologia,2024,34ª,Belo Horizonte (MG),2792,NA,NA,104,O Tempo; Relatório ABA 2023/2024
ABA,Antropologia,2026,35ª,Goiânia (GO) — UFG,NA,NA,NA,115,plataforma9.com/congressos/35-reuniao-brasileira-de-antropologia.htm; 35rba.abant.org.br (GTs = contagem própria do hub; balanço de participantes/trabalhos não publicado)
