ano,area_nome,regiao,programas,participacao_regional
2021,História,NORTE,15,0.06696428571428571
2021,História,SUDESTE,92,0.4107142857142857
2021,História,SUL,44,0.19642857142857142
2022,Geografia,CENTRO-OESTE,11,0.14285714285714285
2022,Geografia,NORDESTE,19,0.24675324675324675
2022,Geografia,NORTE,8,0.1038961038961039
2022,Geografia,SUDESTE,25,0.3246753246753247
2022,Geografia,SUL,14,0.18181818181818182
2022,Economia,CENTRO-OESTE,20,0.10471204188481675
2022,Economia,NORDESTE,38,0.19895287958115182
2022,Economia,NORTE,16,0.08376963350785341
2022,Economia,SUDESTE,71,0.3717277486910995
2022,Economia,SUL,46,0.24083769633507854
2022,Ciência Política / RI,CENTRO-OESTE,8,0.13333333333333333
2022,Ciência Política / RI,NORDESTE,11,0.18333333333333332
2022,Ciência Política / RI,NORTE,2,0.03333333333333333
2022,Ciência Política / RI,SUDESTE,27,0.45
2022,Ciência Política / RI,SUL,12,0.2
2022,Sociologia,CENTRO-OESTE,8,0.0975609756097561
2022,Sociologia,NORDESTE,21,0.25609756097560976
2022,Sociologia,NORTE,6,0.07317073170731707
2022,Sociologia,SUDESTE,28,0.34146341463414637
2022,Sociologia,SUL,19,0.23170731707317074
2022,Antropologia / Arqueologia,CENTRO-OESTE,16,0.10191082802547771
2022,Antropologia / Arqueologia,NORDESTE,37,0.2356687898089172
2022,Antropologia / Arqueologia,NORTE,13,0.08280254777070063
2022,Antropologia / Arqueologia,SUDESTE,62,0.39490445859872614
2022,Antropologia / Arqueologia,SUL,29,0.18471337579617833
2022,História,CENTRO-OESTE,26,0.11981566820276497
2022,História,NORDESTE,43,0.19815668202764977
2022,História,NORTE,13,0.059907834101382486
2022,História,SUDESTE,92,0.423963133640553
2022,História,SUL,43,0.19815668202764977
2023,Geografia,CENTRO-OESTE,11,0.14285714285714285
2023,Geografia,NORDESTE,19,0.24675324675324675
2023,Geografia,NORTE,8,0.1038961038961039
2023,Geografia,SUDESTE,25,0.3246753246753247
2023,Geografia,SUL,14,0.18181818181818182
2023,Economia,CENTRO-OESTE,21,0.1099476439790576
2023,Economia,NORDESTE,38,0.19895287958115182
2023,Economia,NORTE,16,0.08376963350785341
2023,Economia,SUDESTE,70,0.36649214659685864
2023,Economia,SUL,46,0.24083769633507854
2023,Ciência Política / RI,CENTRO-OESTE,8,0.13333333333333333
2023,Ciência Política / RI,NORDESTE,11,0.18333333333333332
2023,Ciência Política / RI,NORTE,2,0.03333333333333333
2023,Ciência Política / RI,SUDESTE,27,0.45
2023,Ciência Política / RI,SUL,12,0.2
2023,Sociologia,CENTRO-OESTE,9,0.10714285714285714
2023,Sociologia,NORDESTE,21,0.25
2023,Sociologia,NORTE,6,0.07142857142857142
2023,Sociologia,SUDESTE,29,0.34523809523809523
2023,Sociologia,SUL,19,0.2261904761904762
2023,Antropologia / Arqueologia,CENTRO-OESTE,16,0.10062893081761007
2023,Antropologia / Arqueologia,NORDESTE,38,0.2389937106918239
2023,Antropologia / Arqueologia,NORTE,13,0.08176100628930817
2023,Antropologia / Arqueologia,SUDESTE,62,0.389937106918239
2023,Antropologia / Arqueologia,SUL,30,0.18867924528301888
2023,História,CENTRO-OESTE,26,0.11711711711711711
2023,História,NORDESTE,47,0.21171171171171171
2023,História,NORTE,13,0.05855855855855856
2023,História,SUDESTE,92,0.4144144144144144
2023,História,SUL,44,0.1981981981981982
2024,Geografia,CENTRO-OESTE,12,0.15
2024,Geografia,NORDESTE,19,0.2375
2024,Geografia,NORTE,11,0.1375
2024,Geografia,SUDESTE,25,0.3125
2024,Geografia,SUL,13,0.1625
2024,Economia,CENTRO-OESTE,20,0.10362694300518134
2024,Economia,NORDESTE,40,0.20725388601036268
2024,Economia,NORTE,16,0.08290155440414508
2024,Economia,SUDESTE,70,0.3626943005181347
2024,Economia,SUL,47,0.24352331606217617
2024,Ciência Política / RI,CENTRO-OESTE,10,0.15625
