fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2004,0.10425994055634906,0.09216119124922822,0.1163230414534841
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2005,0.10203830665906372,0.09070578355476555,0.11341683694711963
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2006,0.09973788174548101,0.08906826627397169,0.1110304005356812
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2007,0.09734538885996316,0.08678855560015034,0.1087634514778052
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2008,0.09484755104687236,0.08399155742718308,0.1062423997878773
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2009,0.09223109135057078,0.08122078916755707,0.10370497397176698
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2010,0.08948273281542068,0.07913878244269763,0.09995222946513695
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2011,0.08665603805924736,0.07697964648370503,0.0960871170362706
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2012,0.08407192799372858,0.07381707121153383,0.0935977624179264
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2013,0.08211816310400519,0.07143836194157072,0.092444205276699
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2014,0.08118250387521807,0.07150627031422767,0.09033920681989868
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2015,0.08129867342066319,0.07247894950501613,0.08990309737899549
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2016,0.08108424536625689,0.07108667219105722,0.09145879337263606
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2017,0.07935161725186257,0.07040175081588748,0.08815721204690072
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2018,0.0771086317605116,0.06757342566983165,0.08640998444897974
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2019,0.07591199286102727,0.06631409093136018,0.08579470719862164
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2020,0.07654910349643472,0.06599859888764667,0.0868740408341262
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2021,0.07673016250656625,0.06525865942348576,0.08746253571209
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2022,0.07607374237066529,0.06368372938049652,0.08786697777019918
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2023,0.08490911422881263,0.07135509638608542,0.09768978850818957
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2024,0.07942031289001124,0.06641163952847529,0.09141693291923228
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1984,0.004570095652367808,-0.08202386032243345,0.0960753901217703
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1985,0.013902449878356675,-0.05451987791264905,0.08614855394097858
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1986,0.021542452384318046,-0.03179177261422502,0.07793345033957626
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1987,0.027630581837849593,-0.013720138053829257,0.07163154210969805
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1988,0.032307316906548963,0.0015579374048998993,0.06538457990930341
