ano,area_nome,nivel,titulos
2006,Antropologia / Arqueologia,Doutorado,59
2006,Antropologia / Arqueologia,Mestrado,149
2006,Antropologia / Arqueologia,Não informado,20
2006,Ciência Política / RI,Doutorado,44
2006,Ciência Política / RI,Mestrado,213
2006,Ciência Política / RI,Não informado,22
2006,Economia,Doutorado,109
2006,Economia,Mestrado,409
2006,Economia,Não informado,211
2006,Geografia,Doutorado,98
2006,Geografia,Mestrado,490
2006,Geografia,Não informado,0
2006,História,Doutorado,217
2006,História,Mestrado,611
2006,História,Não informado,30
2006,Não identificado,Doutorado,311
2006,Não identificado,Mestrado,1121
2006,Não identificado,Não informado,219
2006,Sociologia,Doutorado,251
2006,Sociologia,Mestrado,449
2006,Sociologia,Não informado,42
2007,Antropologia / Arqueologia,Doutorado,66
2007,Antropologia / Arqueologia,Mestrado,138
2007,Antropologia / Arqueologia,Não informado,4
2007,Ciência Política / RI,Doutorado,55
2007,Ciência Política / RI,Mestrado,149
2007,Ciência Política / RI,Não informado,21
2007,Economia,Doutorado,94
2007,Economia,Mestrado,383
2007,Economia,Não informado,252
2007,Geografia,Doutorado,154
2007,Geografia,Mestrado,463
2007,Geografia,Não informado,0
2007,História,Doutorado,214
2007,História,Mestrado,650
2007,História,Não informado,14
2007,Não identificado,Doutorado,383
2007,Não identificado,Mestrado,1175
2007,Não identificado,Não informado,169
2007,Sociologia,Doutorado,231
2007,Sociologia,Mestrado,523
2007,Sociologia,Não informado,39
2008,Antropologia / Arqueologia,Doutorado,56
2008,Antropologia / Arqueologia,Mestrado,157
2008,Antropologia / Arqueologia,Não informado,9
2008,Ciência Política / RI,Doutorado,53
2008,Ciência Política / RI,Mestrado,166
2008,Ciência Política / RI,Não informado,13
2008,Economia,Doutorado,110
2008,Economia,Mestrado,424
2008,Economia,Não informado,290
2008,Geografia,Doutorado,136
2008,Geografia,Mestrado,595
2008,Geografia,Não informado,0
2008,História,Doutorado,280
2008,História,Mestrado,748
2008,História,Não informado,18
2008,Não identificado,Doutorado,426
2008,Não identificado,Mestrado,1340
2008,Não identificado,Não informado,174
2008,Sociologia,Doutorado,269
2008,Sociologia,Mestrado,540
2008,Sociologia,Não informado,19
2009,Antropologia / Arqueologia,Doutorado,71
2009,Antropologia / Arqueologia,Mestrado,164
2009,Antropologia / Arqueologia,Não informado,12
2009,Ciência Política / RI,Doutorado,56
2009,Ciência Política / RI,Mestrado,208
2009,Ciência Política / RI,Não informado,19
2009,Economia,Doutorado,142
2009,Economia,Mestrado,471
2009,Economia,Não informado,345
2009,Geografia,Doutorado,160
2009,Geografia,Mestrado,575
2009,Geografia,Não informado,0
2009,História,Doutorado,271
2009,História,Mestrado,836
2009,História,Não informado,23
2009,Não identificado,Doutorado,417
2009,Não identificado,Mestrado,1335
2009,Não identificado,Não informado,192
2009,Sociologia,Doutorado,264
2009,Sociologia,Mestrado,588
2009,Sociologia,Não informado,37
2010,Antropologia / Arqueologia,Doutorado,91
2010,Antropologia / Arqueologia,Mestrado,182
2010,Antropologia / Arqueologia,Não informado,0
2010,Ciência Política / RI,Doutorado,60
2010,Ciência Política / RI,Mestrado,223
2010,Ciência Política / RI,Não informado,26
2010,Economia,Doutorado,147
2010,Economia,Mestrado,447
2010,Economia,Não informado,339
2010,Geografia,Doutorado,169
2010,Geografia,Mestrado,627
2010,Geografia,Não informado,0
2010,História,Doutorado,220
2010,História,Mestrado,869
2010,História,Não informado,12
2010,Não identificado,Doutorado,437
2010,Não identificado,Mestrado,1367
2010,Não identificado,Não informado,215
2010,Sociologia,Doutorado,282
2010,Sociologia,Mestrado,583
2010,Sociologia,Não informado,54
2011,Antropologia / Arqueologia,Doutorado,70
2011,Antropologia / Arqueologia,Mestrado,177
2011,Antropologia / Arqueologia,Não informado,0
2011,Ciência Política / RI,Doutorado,82
2011,Ciência Política / RI,Mestrado,246
2011,Ciência Política / RI,Não informado,48
2011,Economia,Doutorado,131
2011,Economia,Mestrado,470
2011,Economia,Não informado,381
2011,Geografia,Doutorado,225
2011,Geografia,Mestrado,686
2011,Geografia,Não informado,0
2011,História,Doutorado,278
2011,História,Mestrado,903
2011,História,Não informado,14
2011,Não identificado,Doutorado,516
2011,Não identificado,Mestrado,1578
2011,Não identificado,Não informado,207
2011,Sociologia,Doutorado,294
2011,Sociologia,Mestrado,576
2011,Sociologia,Não informado,12
2012,Antropologia / Arqueologia,Doutorado,81
